Pokedex ID,Species,Type,Attack,Defense,XP,Special Attack,Special Defense,Health
47,METAPOD,BUG,2,6,3,3,3,100
48,BUTTERFREE,BUG,5,5,8,8,7,100
49,WEEDLE,BUG,4,3,2,2,5,100
50,KAKUNA,BUG,3,5,3,3,4,100
51,BEEDRILL,BUG,8,4,5,8,8,100
52,SEWADDLE,BUG,5,7,4,6,4,100
53,SWADLOON,BUG,6,9,5,8,4,100
54,LEAVANNY,BUG,10,8,7,7,9,100
55,VENIPEDE,BUG,5,6,3,4,6,100
56,WHIRLPEDE,BUG,6,10,4,8,5,100
57,SCOLIPEDE,BUG,9,9,6,7,11,100
58,WURMPLE,BUG,5,4,2,3,2,100
59,SILCOON,BUG,4,6,3,3,2,100
60,BEAUTIFLY,BUG,7,5,9,5,7,100
61,CASCOON,BUG,4,6,3,3,2,100
62,DUSTOX,BUG,5,7,5,9,7,100
63,PIDGEY,NORMAL,5,4,4,4,6,100
64,PIDGEOTTO,NORMAL,6,6,5,5,7,100
65,PIDGEOT,NORMAL,8,8,7,7,9,100
66,TOGEPI,NORMAL,2,7,4,7,2,100
67,TOGETIC,NORMAL,4,9,8,11,4,100
68,TOGEKISS,NORMAL,5,10,12,12,8,100
69,STARLY,NORMAL,6,3,3,3,6,100
70,STARAVIA,NORMAL,8,5,4,4,8,100
71,STARAPTOR,NORMAL,12,7,5,5,10,100
72,PIDOVE,NORMAL,6,5,4,3,4,100
73,TRANQUILL,NORMAL,8,6,5,4,7,100
74,UNFEZANT,NORMAL,11,8,7,6,9,100
75,NIDORAN (F),POISON,5,5,4,4,4,100
76,NIDORINA,POISON,6,7,6,6,6,100
77,NIDOQUEEN,POISON,8,9,8,9,8,100
78,NIDORAN (M),POISON,6,4,4,4,5,100
79,NIDORINO,POISON,7,6,6,6,7,100
80,NIDOKING,POISON,9,8,9,8,9,100
81,ZUBAT,POISON,5,4,3,4,6,100
82,GOLBAT,POISON,8,7,7,8,9,100
83,CROBAT,POISON,9,8,7,8,13,100
84,CLEFFA,NORMAL,3,3,5,6,2,100
85,CLEFAIRY,NORMAL,5,5,6,7,4,100
86,CLEFABLE,NORMAL,7,7,9,9,6,100
87,IGGLYBUFF,NORMAL,3,2,4,2,2,100
88,JIGGLYPUFF,NORMAL,5,2,5,3,2,100
89,WIGGLYTUFF,NORMAL,7,5,8,5,5,100
90,HAPPINY,NORMAL,1,1,2,7,3,100
91,CHANSEY,NORMAL,1,1,4,11,5,100
92,BLISSEY,NORMAL,1,1,8,14,6,100
93,WHISMUR,NORMAL,5,2,5,2,3,100
94,LOUDRED,NORMAL,7,4,7,4,5,100
95,EXPLOUD,NORMAL,9,6,9,6,7,100
96,LILLIPUP,NORMAL,6,5,3,5,6,100
97,HERDIER,NORMAL,8,7,4,7,6,100
98,STOUTLAND,NORMAL,10,9,5,9,8,100
99,PORYGON,NORMAL,6,7,9,8,4,100
100,PORYGON2,NORMAL,8,9,11,10,6,100
101,PORYGON Z,NORMAL,8,7,14,8,9,100
102,SLAKOTH,NORMAL,6,6,4,4,3,100
103,VIGOROTH,NORMAL,8,8,6,6,9,100
104,SLAKING,NORMAL,16,10,10,7,10,100
105,ODDISH,GRASS,5,6,8,7,3,100
106,GLOOM,GRASS,7,7,9,8,4,100
107,VILEPLUME,GRASS,8,9,10,9,5,100
108,BELLOSSOM,GRASS,8,9,9,10,5,100
109,BELLSPROUT,GRASS,8,4,7,3,4,100
110,WEEPINBELL,GRASS,9,5,9,5,6,100
111,VICTREEBEL,GRASS,11,7,10,6,7,100
112,HOPPIP,GRASS,4,4,4,6,5,100
113,SKIPLOOM,GRASS,5,5,5,7,5,100
114,JUMPLUFF,GRASS,6,7,6,9,11,100
115,LOTAD,WATER,3,3,4,5,3,100
116,LOMBRE,WATER,5,5,6,7,5,100
117,LUDICOLO,WATER,7,7,9,10,7,100
118,SEEDOT,GRASS,4,5,3,3,3,100
119,NUZLEAF,GRASS,7,4,6,4,6,100
120,SHIFTRY,GRASS,10,6,9,6,8,100
121,BUDEW,GRASS,3,4,5,7,6,100
122,ROSELIA,GRASS,6,5,10,8,7,100
123,ROSERADE,GRASS,7,6,13,11,9,100
124,PICHU,ELECTRIC,4,2,4,4,6,100
125,PIKACHU,ELECTRIC,6,3,5,4,9,100
126,RAICHU,ELECTRIC,9,6,9,8,10,100
127,MAGNEMITE,ELECTRIC,4,7,10,6,5,100
128,MAGNETON,ELECTRIC,6,10,12,7,7,100
129,MAGNEZONE,ELECTRIC,7,12,13,9,6,100
130,MAREEP,ELECTRIC,4,4,7,5,4,100
131,FLAAFFY,ELECTRIC,6,6,8,6,5,100
132,AMPHAROS,ELECTRIC,8,8,12,9,6,100
133,SHINX,ELECTRIC,7,3,4,3,5,100
134,LUXIO,ELECTRIC,9,5,6,5,6,100
135,LUXRAY,ELECTRIC,12,8,10,8,7,100
136,TYNAMO,ELECTRIC,6,4,5,4,6,100
137,EELEKTRIK,ELECTRIC,9,7,8,7,4,100
138,EELEKTROSS,ELECTRIC,12,8,11,8,5,100
139,ELEKID,ELECTRIC,8,4,7,6,8,100
140,ELECTABUZZ,ELECTRIC,8,6,10,9,11,100
141,ELECTIVIRE,ELECTRIC,12,7,10,9,10,100
142,MAGBY,FIRE,8,4,7,6,8,100
143,MAGMAR,FIRE,10,6,10,9,10,100
144,MAGMORTAR,FIRE,10,7,13,10,8,100
145,POLIWAG,WATER,5,4,4,4,9,100
146,POLIWHIRL,WATER,7,7,5,5,9,100
147,POLIWRATH,WATER,9,10,7,9,7,100
148,POLITOED,WATER,8,8,9,10,7,100
149,AZURILL,NORMAL,2,4,2,4,2,100
150,MARILL,WATER,2,5,2,5,4,100
151,AZUMARILL,WATER,5,8,5,8,5,100
152,TYMPOLE,WATER,5,4,5,4,6,100
153,PALPITOAD,WATER,7,6,7,6,7,100
154,SEISMITOAD,WATER,9,8,9,8,7,100
155,HORSEA,WATER,4,7,7,3,6,100
156,SEADRA,WATER,7,10,10,5,9,100
157,KINGDRA,WATER,10,10,10,10,9,100
158,SPHEAL,ICE,4,5,6,5,3,100
159,SEALEO,ICE,6,7,8,7,5,100
160,WALREIN,ICE,8,9,10,9,7,100
161,VANILLITE,ICE,5,5,7,6,5,100
162,VANILLISH,ICE,7,7,8,8,6,100
163,VANILLUXE,ICE,10,9,11,10,8,100
164,RALTS,PSYCHIC,3,3,5,4,4,100
165,KIRLIA,PSYCHIC,4,4,7,6,5,100
166,GARDEVOIR,PSYCHIC,7,7,13,12,8,100
167,GALLADE,PSYCHIC,13,7,7,12,8,100
168,ABRA,PSYCHIC,2,2,11,6,9,100
169,KADABRA,PSYCHIC,4,3,12,7,11,100
170,ALAKAZAM,PSYCHIC,5,5,14,9,12,100
171,GOTHITA,PSYCHIC,3,5,6,7,5,100
172,GOTHORITA,PSYCHIC,5,7,8,9,6,100
173,GOTHITELLE,PSYCHIC,6,10,10,11,7,100
174,SOLOSIS,PSYCHIC,3,4,11,5,2,100
175,DUOSION,PSYCHIC,4,5,13,6,3,100
176,REUNICLUS,PSYCHIC,7,8,13,9,3,100
177,MACHOP,FIGHTING,8,5,4,4,4,100
178,MACHOKE,FIGHTING,10,7,5,6,5,100
179,MACHAMP,FIGHTING,13,8,7,9,6,100
180,TIMBURR,FIGHTING,8,6,3,4,4,100
181,GURDURR,FIGHTING,11,9,4,5,4,100
182,CONKELDURR,FIGHTING,14,10,6,7,5,100
183,GEODUDE,ROCK,8,10,3,3,2,100
184,GRAVELER,ROCK,10,12,5,5,4,100
185,GOLEM,ROCK,11,13,6,7,5,100
186,ROGGENROLA,ROCK,8,9,3,3,2,100
187,BOLDORE,ROCK,11,11,5,4,2,100
188,GIGALITH,ROCK,14,13,6,7,3,100
189,RHYHORN,GROUND,9,10,3,3,3,100
190,RHYDON,GROUND,13,12,5,5,4,100
191,RHYPERIOR,GROUND,14,13,6,6,4,100
192,SWINUB,ICE,5,4,3,3,5,100
193,PILOSWINE,ICE,10,8,6,6,5,100
194,MAMOSWINE,ICE,13,8,7,6,8,100
195,SANDILE,GROUND,7,4,4,4,7,100
196,KROKOROK,GROUND,8,5,5,5,7,100
197,KROOKODILE,GROUND,12,7,7,7,9,100
198,ARON,STEEL,7,10,4,4,3,100
199,LAIRON,STEEL,9,14,5,5,4,100
200,AGGRON,STEEL,11,18,6,6,5,100
201,KLINK,STEEL,6,7,5,6,3,100
202,KLANG,STEEL,8,10,7,9,5,100
203,KLINKLANG,STEEL,10,12,7,9,9,100
204,GASTLY,GHOST,4,3,10,4,8,100
205,HAUNTER,GHOST,5,5,12,6,10,100
206,GENGAR,GHOST,7,6,13,8,11,100
207,DUSKULL,GHOST,4,9,3,9,3,100
208,DUSCLOPS,GHOST,7,13,6,13,3,100
209,DUSKNOIR,GHOST,10,14,7,14,5,100
210,LITWICK,GHOST,3,6,7,6,2,100
211,LAMPENT,GHOST,4,6,10,6,6,100
212,CHANDELURE,GHOST,6,9,15,9,8,100
213,TRAPINCH,GROUND,10,5,5,5,1,100
214,VIBRAVA,GROUND,7,5,5,5,7,100
215,FLYGON,GROUND,10,8,8,8,10,100
216,AXEW,DRAGON,9,6,3,4,6,100
217,FRAXURE,DRAGON,12,7,4,5,7,100
218,HAXORUS,DRAGON,15,9,6,7,10,100
219,RATTATA,NORMAL,6,4,3,4,7,100
220,RATICATE,NORMAL,8,6,5,7,10,100
221,SENTRET,NORMAL,5,3,4,5,2,100
222,FURRET,NORMAL,8,6,5,6,9,100
223,ZIGZAGOON,NORMAL,3,4,3,4,6,100
224,LINOONE,NORMAL,7,6,5,6,10,100
225,BIDOOF,NORMAL,5,4,4,4,3,100
226,BIBAREL,NORMAL,9,6,6,6,7,100
227,PATRAT,NORMAL,6,4,4,4,4,100
228,WATCHOG,NORMAL,9,7,6,7,8,100
229,MEOWTH,NORMAL,5,4,4,4,9,100
230,PERSIAN,NORMAL,7,6,7,7,12,100
231,SKITTY,NORMAL,5,5,4,4,5,100
232,DELCATTY,NORMAL,7,7,6,6,7,100
233,GLAMEOW,NORMAL,6,4,4,4,9,100
234,PURUGLY,NORMAL,8,6,6,6,11,100
235,MINCCINO,NORMAL,5,4,4,4,8,100
236,CINCCINO,NORMAL,10,6,7,6,12,100
237,BUNEARY,NORMAL,7,4,4,6,9,100
238,LOPUNNY,NORMAL,8,8,5,10,11,100
239,SNUBBULL,NORMAL,8,5,4,4,3,100
240,GRANBULL,NORMAL,12,8,6,6,5,100
241,AIPOM,NORMAL,7,6,4,6,9,100
242,AMBIPOM,NORMAL,10,7,6,7,12,100
243,DEERLING,NORMAL,6,5,4,5,8,100
244,SAWSBUCK,NORMAL,10,7,6,7,10,100
245,TEDDIURSA,NORMAL,8,5,5,5,4,100
246,URSARING,NORMAL,13,8,8,8,6,100
247,LICKITUNG,NORMAL,6,8,6,8,3,100
248,LICKILICKY,NORMAL,9,10,8,10,5,100
249,MUNCHLAX,NORMAL,9,4,4,9,1,100
250,SNORLAX,NORMAL,11,7,7,11,3,100
251,BURMY,BUG,3,5,3,5,4,100
252,WORMADAM  Plant Cloak Form,BUG,6,9,8,11,4,100
252,WORMADAM  Sandy Cloak Form,BUG,8,11,6,9,3,100
253,MOTHIM,BUG,9,5,9,5,7,100
254,NINCADA,BUG,5,9,3,3,4,100
255,NINJASK,BUG,9,5,5,5,16,100
256,SHEDINJA,BUG,9,5,3,3,4,100
257,PARAS,BUG,7,6,5,6,3,100
258,PARASECT,BUG,10,8,6,8,3,100
259,VENONAT,BUG,6,5,4,6,5,100
260,VENOMOTH,BUG,7,6,9,8,9,100
261,LEDYBA,BUG,2,3,4,8,6,100
262,LEDIAN,BUG,4,5,6,11,9,100
263,SPINARAK,BUG,6,4,4,4,3,100
264,ARIADOS,BUG,9,7,6,6,4,100
265,YANMA,BUG,7,5,8,5,10,100
266,YANMEGA,BUG,8,9,12,6,10,100
267,PINECO,BUG,7,9,4,4,2,100
268,FORRETRESS,BUG,9,14,6,6,4,100
269,SURSKIT,BUG,3,3,5,5,7,100
270,MASQUERAIN,BUG,6,6,8,8,6,100
271,KRICKETOT,BUG,3,4,3,4,3,100
272,KRICKETUNE,BUG,9,5,6,5,7,100
273,COMBEE,BUG,3,4,3,4,7,100
274,VESPIQUEN,BUG,8,10,8,10,4,100
275,DWEBBLE,BUG,7,9,4,4,6,100
276,CRUSTLE,BUG,10,13,7,8,5,100
277,KARRABLAST,BUG,8,5,4,5,6,100
278,ESCAVALIER,BUG,14,11,6,11,2,100
279,SHELMET,BUG,4,9,4,7,3,100
280,ACCELGOR,BUG,7,4,10,6,15,100
281,JOLTIK,BUG,5,5,6,5,7,100
282,GALVANTULA,BUG,8,6,10,6,11,100
283,SCYTHER,BUG,11,8,6,8,11,100
284,SCIZOR,BUG,13,10,6,8,7,100
285,LARVESTA,BUG,9,6,5,6,6,100
286,VOLCARONA,BUG,6,7,14,11,10,100
287,SPEAROW,NORMAL,6,3,3,3,7,100
288,FEAROW,NORMAL,9,7,6,6,10,100
289,DODUO,NORMAL,9,5,4,4,8,100
290,DODRIO,NORMAL,11,7,6,6,10,100
291,HOOTHOOT,NORMAL,3,3,4,6,5,100
292,NOCTOWL,NORMAL,5,5,8,10,7,100
293,TAILLOW,NORMAL,6,3,3,3,9,100
294,SWELLOW,NORMAL,9,6,5,5,13,100
295,RUFFLET,NORMAL,8,5,4,5,6,100
296,BRAVIARY,NORMAL,12,8,6,8,8,100
297,SWABLU,NORMAL,4,6,4,8,5,100
298,ALTARIA,DRAGON,7,9,7,11,8,100
299,EKANS,POISON,6,4,4,5,6,100
300,ARBOK,POISON,9,7,7,8,8,100
301,STUNKY,POISON,6,5,4,4,7,100
302,SKUNTANK,POISON,9,7,7,6,8,100
303,GRIMER,POISON,8,5,4,5,3,100
304,MUK,POISON,11,8,7,10,5,100
305,KOFFING,POISON,7,10,6,5,4,100
306,WEEZING,POISON,9,12,9,7,6,100
307,GULPIN,POISON,4,5,4,5,4,100
308,SWALOT,POISON,7,8,7,8,6,100
309,TRUBBISH,POISON,5,6,4,6,7,100
310,GARBODOR,POISON,10,8,6,8,8,100
311,SKORUPI,POISON,5,9,3,6,7,100
312,DRAPION,POISON,9,11,6,8,10,100
313,CROAGUNK,POISON,6,4,6,4,5,100
314,TOXICROAK,POISON,11,7,9,7,9,100
315,SANDSHREW,GROUND,8,9,2,3,4,100
316,SANDSLASH,GROUND,10,11,5,6,7,100
317,DIGLETT,GROUND,6,3,4,5,10,100
318,DUGTRIO,GROUND,8,5,5,7,12,100
319,CUBONE,GROUND,5,10,4,5,4,100
320,MAROWAK,GROUND,8,11,5,8,5,100
321,GLIGAR,GROUND,8,11,4,7,9,100
322,GLISCOR,GROUND,10,13,5,8,10,100
323,PHANPY,GROUND,6,6,4,4,4,100
324,DONPHAN,GROUND,12,12,6,6,5,100
325,BALTOY,GROUND,4,6,4,7,6,100
326,CLAYDOL,GROUND,7,11,7,12,8,100
327,HIPPOPOTAS,GROUND,7,8,4,4,3,100
328,HIPPOWDON,GROUND,11,12,7,7,5,100
329,DRILBUR,GROUND,9,4,3,5,7,100
330,EXCADRILL,GROUND,14,6,5,7,9,100
331,GOLETT,GROUND,7,6,4,5,4,100
332,GOLURK,GROUND,12,8,6,8,6,100
333,BONSLY,ROCK,8,10,1,5,1,100
334,SUDOWOODO,ROCK,10,12,3,7,3,100
335,NOSEPASS,ROCK,5,14,5,9,4,100
336,PROBOPASS,ROCK,6,15,8,15,4,100
337,ONIX,ROCK,5,16,3,5,7,100
338,STEELIX,STEEL,9,20,6,7,3,100
339,BRONZOR,STEEL,2,9,2,9,2,100
340,BRONZONG,STEEL,9,12,8,12,3,100
341,SUNKERN,GRASS,3,3,3,3,3,100
342,SUNFLORA,GRASS,8,6,11,9,3,100
343,TANGELA,GRASS,6,12,10,4,6,100
344,TANGROWTH,GRASS,10,13,11,5,5,100
345,CHERUBI,GRASS,4,5,6,5,4,100
346,CHERRIM,GRASS,6,7,9,8,9,100
347,COTTONEE,GRASS,3,6,4,5,7,100
348,WHIMSICOTT,GRASS,7,9,8,8,12,100
349,PETILIL,GRASS,4,5,7,5,3,100
350,LILLIGANT,GRASS,6,8,11,8,9,100
351,FOONGUS,GRASS,6,5,6,6,2,100
352,AMOONGUSS,GRASS,9,7,9,8,3,100
353,SHROOMISH,GRASS,4,6,4,6,4,100
354,BRELOOM,GRASS,13,8,6,6,7,100
355,FERROSEED,GRASS,5,9,2,9,1,100
356,FERROTHORN,GRASS,9,13,5,12,2,100
357,CACNEA,GRASS,9,4,9,4,4,100
358,CACTURNE,GRASS,12,6,12,6,6,100
359,EXEGGCUTE,GRASS,4,8,6,5,4,100
360,EXEGGUTOR,GRASS,10,9,13,7,6,100
361,SNOVER,GRASS,6,5,6,6,4,100
362,ABOMASNOW,GRASS,9,8,9,9,6,100
363,VULPIX,FIRE,4,4,5,7,7,100
364,NINETALES,FIRE,8,8,8,10,10,100
365,GROWLITHE,FIRE,7,5,7,5,6,100
366,ARCANINE,FIRE,11,8,10,8,10,100
367,PONYTA,FIRE,9,6,7,7,9,100
368,RAPIDASH,FIRE,10,7,8,8,11,100
369,SLUGMA,FIRE,4,4,7,4,2,100
370,MAGCARGO,FIRE,5,12,8,8,3,100
371,NUMEL,FIRE,6,4,7,5,4,100
372,CAMERUPT,FIRE,10,7,11,8,4,100
373,DARUMAKA,FIRE,9,5,2,5,5,100
374,DARMANITAN,FIRE,14,6,3,6,10,100
375,CLAMPERL,WATER,6,9,7,6,3,100
376,HUNTAIL,WATER,10,11,9,8,5,100
377,GOREBYSS,WATER,8,11,11,8,5,100
378,SLOWPOKE,WATER,7,7,4,4,2,100
379,SLOWBRO,WATER,8,11,10,8,3,100
380,SLOWKING,WATER,8,8,10,11,3,100
381,GOLDEEN,WATER,7,6,4,5,6,100
382,SEAKING,WATER,9,7,7,8,7,100
383,BARBOACH,WATER,5,4,5,4,6,100
384,WHISCASH,WATER,8,7,8,7,6,100
385,FINNEON,WATER,5,6,5,6,7,100
386,LUMINEON,WATER,7,8,7,9,9,100
387,CHINCHOU,WATER,4,4,6,6,7,100
388,LANTURN,WATER,6,6,8,8,7,100
389,CARVANHA,WATER,9,2,7,2,7,100
390,SHARPEDO,WATER,12,4,10,4,10,100
391,WINGULL,WATER,3,3,6,3,9,100
392,PELIPPER,WATER,5,10,9,7,7,100
393,DUCKLETT,WATER,4,5,4,5,6,100
394,SWANNA,WATER,9,6,9,6,10,100
395,TENTACOOL,WATER,4,4,5,10,7,100
396,TENTACRUEL,WATER,7,7,8,12,10,100
397,FRILLISH,WATER,4,5,7,9,4,100
398,JELLICENT,WATER,6,7,9,11,6,100
399,SHELLDER,WATER,7,10,5,3,4,100
400,CLOYSTER,WATER,10,18,9,5,7,100
401,KRABBY,WATER,11,9,3,3,5,100
402,KINGLER,WATER,13,12,5,5,8,100
403,CORPHISH,WATER,8,7,5,4,4,100
404,CRAWDAUNT,WATER,12,9,9,6,6,100
405,STARYU,WATER,5,6,7,6,9,100
406,STARMIE,WATER,8,9,10,9,12,100
407,PSYDUCK,WATER,5,5,7,5,6,100
408,GOLDUCK,WATER,8,8,10,8,9,100
409,WOOPER,WATER,5,5,3,3,2,100
410,QUAGSIRE,WATER,9,9,7,7,4,100
411,SEEL,WATER,5,6,5,7,5,100
412,DEWGONG,WATER,7,8,7,10,7,100
413,SHELLOS,WATER,5,5,6,6,3,100
414,GASTRODON,WATER,8,7,9,8,4,100
415,BUIZEL,WATER,7,4,6,3,9,100
416,FLOATZEL,WATER,11,6,9,5,12,100
417,REMORAID,WATER,7,4,7,4,7,100
418,OCTILLERY,WATER,11,8,11,8,5,100
419,MANTYKE,WATER,2,5,6,12,5,100
420,MANTINE,WATER,4,7,8,14,7,100
421,MAGIKARP,WATER,1,6,2,2,8,100
422,GYARADOS,WATER,13,8,6,10,8,100
423,FEEBAS,WATER,2,2,1,6,8,100
424,MILOTIC,WATER,6,8,10,13,8,100
425,WAILMER,WATER,7,4,7,4,6,100
426,WAILORD,WATER,9,5,9,5,6,100
427,SNORUNT,ICE,5,5,5,5,5,100
428,GLALIE,ICE,8,8,8,8,8,100
429,FROSLASS,ICE,8,7,8,7,11,100
430,CUBCHOO,ICE,7,4,6,4,4,100
431,BEARTIC,ICE,11,8,7,8,5,100
432,VOLTORB,ELECTRIC,3,5,6,6,10,100
433,ELECTRODE,ELECTRIC,5,7,8,8,14,100
434,ELECTRIKE,ELECTRIC,5,4,7,4,7,100
435,MANECTRIC,ELECTRIC,8,6,11,6,11,100
436,BLITZLE,ELECTRIC,6,3,5,3,8,100
437,ZEBSTRIKA,ELECTRIC,10,6,8,6,12,100
438,NATU,PSYCHIC,5,5,7,5,7,100
439,XATU,PSYCHIC,8,7,10,7,10,100
440,WOOBAT,PSYCHIC,5,4,6,4,7,100
441,SWOOBAT,PSYCHIC,6,6,8,6,11,100
442,SPOINK,PSYCHIC,3,4,7,8,6,100
443,GRUMPIG,PSYCHIC,5,7,9,11,8,100
444,MUNNA,PSYCHIC,3,5,7,6,2,100
445,MUSHARNA,PSYCHIC,6,9,11,10,3,100
446,ELGYEM,PSYCHIC,6,6,9,6,3,100
447,BEHEEYEM,PSYCHIC,8,8,13,10,4,100
448,DROWZEE,PSYCHIC,5,5,4,9,4,100
449,HYPNO,PSYCHIC,7,7,7,12,7,100
450,SMOOCHUM,ICE,3,2,9,7,7,100
451,JYNX,ICE,5,4,12,10,10,100
452,MIME JR.,PSYCHIC,3,5,7,9,6,100
453,MR. MIME,PSYCHIC,5,7,10,12,9,100
454,CHINGLING,PSYCHIC,3,5,7,5,5,100
455,CHIMECHO,PSYCHIC,5,7,10,8,7,100
456,WYNAUT,PSYCHIC,2,5,2,5,2,100
457,WOBBUFFET,PSYCHIC,3,6,3,6,3,100
458,TYROGUE,FIGHTING,4,4,4,4,4,100
459,HITMONLEE,FIGHTING,5,4,11,8,Basic,100
460,HITMONCHAN,FIGHTING,11,8,4,11,8,100
461,HITMONTOP,FIGHTING,10,10,4,11,7,100
462,MANKEY,FIGHTING,8,4,4,5,7,100
463,PRIMEAPE,FIGHTING,11,6,6,7,10,100
464,MIENFOO,FIGHTING,9,5,6,5,7,100
465,MIENSHAO,FIGHTING,13,6,10,6,11,100
466,MAKUHITA,FIGHTING,6,3,2,3,3,100
467,HARIYAMA,FIGHTING,12,6,4,6,5,100
468,MEDITITE,FIGHTING,4,6,4,6,6,100
469,MEDICHAM,FIGHTING,6,8,6,8,8,100
470,RIOLU,FIGHTING,7,4,4,4,6,100
471,LUCARIO,FIGHTING,11,7,12,7,9,100
472,MURKROW,DARK,9,4,9,4,9,100
473,HONCHKROW,DARK,13,5,11,5,7,100
474,VULLABY,DARK,6,8,5,7,6,100
475,MANDIBUZZ,DARK,7,11,6,10,8,100
476,PURRLOIN,DARK,5,4,5,4,7,100
477,LIEPARD,DARK,9,5,9,5,11,100
478,HOUNDOUR,DARK,6,3,8,5,7,100
479,HOUNDOOM,DARK,9,5,11,8,10,100
480,POOCHYENA,DARK,6,4,3,3,4,100
481,MIGHTYENA,DARK,9,7,6,6,7,100
482,SCRAGGY,DARK,8,7,4,7,5,100
483,SCRAFTY,DARK,9,12,5,12,6,100
484,SNEASEL,DARK,10,6,4,8,12,100
485,WEAVILE,DARK,12,7,5,9,13,100
486,PAWNIARD,DARK,9,7,4,4,6,100
487,BISHARP,DARK,13,10,6,7,7,100
488,ZORUA,DARK,7,4,8,4,7,100
489,ZOROARK,DARK,11,6,12,6,11,100
490,MISDREAVUS,GHOST,6,6,9,9,9,100
491,MISMAGIUS,GHOST,6,6,11,11,11,100
492,SHUPPET,GHOST,8,4,6,3,5,100
493,BANETTE,GHOST,12,7,8,6,7,100
494,DRIFLOON,GHOST,5,3,6,4,7,100
495,DRIFBLIM,GHOST,8,4,9,5,8,100
496,YAMASK,GHOST,3,9,6,7,3,100
497,COFAGRIGUS,GHOST,5,15,10,11,3,100
498,PANSAGE,GRASS,5,5,5,5,6,100
499,SIMISAGE,GRASS,10,6,10,6,10,100
500,PANSEAR,FIRE,5,5,5,5,6,100
501,SIMISEAR,FIRE,10,6,10,6,10,100
502,PANPOUR,WATER,5,5,5,5,6,100
503,SIMIPOUR,WATER,10,6,10,6,10,100
